--------------------------------------------------------------------------------
Process Log at Fri Aug 14 17:18:11 2020
--------------------------------------------------------------------------------
{'pid': 5408, 'create_time': 1597398192.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'num_handles': 469, 'ppid': 92, 'memory_percent': 0.1987511120769455, 'num_threads': 5, 'vms': 12.0390625}
{'pid': 5460, 'create_time': 1597390670.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 129, 'ppid': 868, 'memory_percent': 0.04473520862623529, 'num_threads': 2, 'vms': 1.52734375}
{'pid': 5644, 'create_time': 1597405305.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'num_handles': 344, 'ppid': 1904, 'memory_percent': 0.603337011241432, 'num_threads': 17, 'vms': 64.8359375}
{'pid': 5668, 'create_time': 1597390671.0, 'username': None, 'name': 'rundll32.exe', 'num_handles': 130, 'ppid': 4060, 'memory_percent': 0.04432699684596369, 'num_threads': 2, 'vms': 1.6015625}
{'pid': 5728, 'create_time': 1597390680.0, 'username': None, 'name': 'dllhost.exe', 'num_handles': 196, 'ppid': 92, 'memory_percent': 0.06418529933329412, 'num_threads': 4, 'vms': 3.12109375}
{'pid': 5796, 'create_time': 1597405108.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'num_handles': 233, 'ppid': 1904, 'memory_percent': 0.22631741347411038, 'num_threads': 14, 'vms': 17.39453125}
{'pid': 5860, 'create_time': 1597398725.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'num_handles': 606, 'ppid': 7356, 'memory_percent': 1.4715794554214727, 'num_threads': 35, 'vms': 222.4921875}
{'pid': 5900, 'create_time': 1597398726.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'CodeHelper.exe', 'num_handles': 386, 'ppid': 5860, 'memory_percent': 0.08594058597600435, 'num_threads': 13, 'vms': 11.17578125}
{'pid': 5940, 'create_time': 1597390671.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 201, 'ppid': 868, 'memory_percent': 0.0675470434061191, 'num_threads': 2, 'vms': 2.1015625}
{'pid': 5996, 'create_time': 1597390722.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'jusched.exe', 'num_handles': 163, 'ppid': 1888, 'memory_percent': 0.050354123719385614, 'num_threads': 1, 'vms': 1.76953125}
{'pid': 6088, 'create_time': 1597390671.0, 'username': None, 'name': 'aswEngSrv.exe', 'num_handles': 733, 'ppid': 3264, 'memory_percent': 0.6756385212648321, 'num_threads': 33, 'vms': 59.2109375}
{'pid': 6112, 'create_time': 1597390830.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'SystemSettings.exe', 'num_handles': 831, 'ppid': 92, 'memory_percent': 0.002305195935651416, 'num_threads': 22, 'vms': 23.4609375}
