--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:37:47 2020
--------------------------------------------------------------------------------
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 13752, 'vms': 30.7109375}
{'name': 'svchost.exe', 'username': None, 'pid': 14056, 'vms': 5.421875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14072, 'vms': 44.97265625}
{'name': 'svchost.exe', 'username': None, 'pid': 14136, 'vms': 3.17578125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14272, 'vms': 12.7421875}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14932, 'vms': 8.3828125}
{'name': 'SettingSyncHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15176, 'vms': 5.99609375}
{'name': 'CompPkgSrv.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15456, 'vms': 2.046875}
{'name': 'nvcontainer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15636, 'vms': 31.90625}
{'name': 'WinStore.App.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15800, 'vms': 49.98046875}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 16020, 'vms': 120.23828125}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 16096, 'vms': 16.4765625}
{'name': 'PSAdminAgent.exe', 'username': None, 'pid': 16208, 'vms': 2.28515625}
{'name': 'ApplicationFrameHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 16296, 'vms': 20.0}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 16540, 'vms': 42.5625}
