--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:57:18 2020
--------------------------------------------------------------------------------
{'pid': 4872, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 3.6875}
{'pid': 4972, 'name': 'dasHost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 1.25}
{'pid': 5196, 'name': 'winlogon.exe', 'create_time': 1597313219.0, 'username': None, 'vms': 2.91015625}
{'pid': 5324, 'name': 'svchost.exe', 'create_time': 1597002010.0, 'username': None, 'vms': 1.80078125}
{'pid': 5352, 'name': 'svchost.exe', 'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.83984375}
{'pid': 5524, 'name': 'RuntimeBroker.exe', 'create_time': 1597314324.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.40625}
{'pid': 5568, 'name': 'svchost.exe', 'create_time': 1597002007.0, 'username': None, 'vms': 2.25}
{'pid': 5696, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 22.24609375}
{'pid': 5832, 'name': 'AcerRegistrationBackGroundTask.exe', 'create_time': 1597315428.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 38.453125}
{'pid': 5856, 'name': 'conhost.exe', 'create_time': 1597314732.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.50390625}
{'pid': 5888, 'name': 'svchost.exe', 'create_time': 1597002007.0, 'username': None, 'vms': 2.31640625}
{'pid': 5916, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 19.40234375}
{'pid': 6248, 'name': 'aswEngSrv.exe', 'create_time': 1597002010.0, 'username': None, 'vms': 42.8515625}
{'pid': 6340, 'name': 'nvcontainer.exe', 'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.02734375}
{'pid': 6524, 'name': 'SearchFilterHost.exe', 'create_time': 1597318037.0, 'username': None, 'vms': 1.5234375}
{'pid': 6700, 'name': 'SearchIndexer.exe', 'create_time': 1597002011.0, 'username': None, 'vms': 65.53125}
{'pid': 6724, 'name': 'chrome.exe', 'create_time': 1597315701.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 202.6953125}
{'pid': 6852, 'name': 'WinStore.App.exe', 'create_time': 1597314362.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 49.0}
{'pid': 7072, 'name': 'svchost.exe', 'create_time': 1597002011.0, 'username': None, 'vms': 2.92578125}
{'pid': 7256, 'name': 'svchost.exe', 'create_time': 1597002012.0, 'username': None, 'vms': 4.96875}
{'pid': 7360, 'name': 'svchost.exe', 'create_time': 1597002012.0, 'username': None, 'vms': 1.88671875}
{'pid': 7488, 'name': 'SettingSyncHost.exe', 'create_time': 1597314320.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.23828125}
{'pid': 7552, 'name': 'AiSquared.Loader.Elevated.exe', 'create_time': 1597314325.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 15.375}
{'pid': 7576, 'name': 'conhost.exe', 'create_time': 1597318037.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.51953125}
{'pid': 7648, 'name': 'aswidsagent.exe', 'create_time': 1597002012.0, 'username': None, 'vms': 51.359375}
{'pid': 7680, 'name': 'conhost.exe', 'create_time': 1597314731.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.67578125}
{'pid': 7792, 'name': 'Code.exe', 'create_time': 1597314555.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.07421875}
{'pid': 7828, 'name': 'Code.exe', 'create_time': 1597314733.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 20.10546875}
{'pid': 7940, 'name': 'RuntimeBroker.exe', 'create_time': 1597314326.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.2109375}
{'pid': 8056, 'name': 'YourPhone.exe', 'create_time': 1597314323.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 21.62890625}
{'pid': 8076, 'name': 'powershell.exe', 'create_time': 1597315684.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 67.6953125}
{'pid': 8088, 'name': 'RuntimeBroker.exe', 'create_time': 1597314331.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.40625}
{'pid': 8168, 'name': 'svchost.exe', 'create_time': 1597002012.0, 'username': None, 'vms': 7.15625}
{'pid': 8196, 'name': 'svchost.exe', 'create_time': 1597314958.0, 'username': None, 'vms': 2.4921875}
{'pid': 8256, 'name': 'NVIDIA Web Helper.exe', 'create_time': 1597314319.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 30.41796875}
{'pid': 8524, 'name': 'svchost.exe', 'create_time': 1597317833.0, 'username': None, 'vms': 1.58984375}
{'pid': 8536, 'name': 'Code.exe', 'create_time': 1597314553.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.5234375}
{'pid': 8580, 'name': 'RuntimeBroker.exe', 'create_time': 1597314363.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.171875}
{'pid': 8600, 'name': 'csrss.exe', 'create_time': 1597313219.0, 'username': None, 'vms': 2.47265625}
{'pid': 8844, 'name': 'jusched.exe', 'create_time': 1597314346.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.78125}
{'pid': 9016, 'name': 'svchost.exe', 'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.96875}
{'pid': 9152, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.66015625}
{'pid': 9160, 'name': 'fontdrvhost.exe', 'create_time': 1597313220.0, 'username': None, 'vms': 3.34375}
{'pid': 9312, 'name': 'NVDisplay.Container.exe', 'create_time': 1597313225.0, 'username': None, 'vms': 30.05859375}
{'pid': 9320, 'name': 'dllhost.exe', 'create_time': 1597002017.0, 'username': None, 'vms': 3.92578125}
{'pid': 9380, 'name': 'Skype.exe', 'create_time': 1597314344.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 9.51171875}
{'pid': 9500, 'name': 'chrome.exe', 'create_time': 1597314874.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 266.41796875}
{'pid': 9660, 'name': 'nvsphelper64.exe', 'create_time': 1597314329.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.22265625}
{'pid': 9728, 'name': 'svchost.exe', 'create_time': 1597315498.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 13.1328125}
{'pid': 9828, 'name': 'chrome.exe', 'create_time': 1597317855.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 62.8984375}
{'pid': 9924, 'name': 'AiSquared.Loader.Generic.exe', 'create_time': 1597314324.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 39.86328125}
{'pid': 10084, 'name': 'python.exe', 'create_time': 1597318037.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 271.78515625}
{'pid': 10128, 'name': 'chrome.exe', 'create_time': 1597318030.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.1875}
{'pid': 10444, 'name': 'chrome.exe', 'create_time': 1597314398.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.2890625}
{'pid': 10552, 'name': 'Skype.exe', 'create_time': 1597314344.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.73046875}
{'pid': 10652, 'name': 'svchost.exe', 'create_time': 1597317821.0, 'username': None, 'vms': 4.25390625}
{'pid': 10736, 'name': 'svchost.exe', 'create_time': 1597002020.0, 'username': None, 'vms': 4.015625}
{'pid': 11036, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.34765625}
{'pid': 11136, 'name': 'svchost.exe', 'create_time': 1597136889.0, 'username': None, 'vms': 2.67578125}
{'pid': 11164, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 306.9296875}
{'pid': 11176, 'name': 'SgrmBroker.exe', 'create_time': 1597002132.0, 'username': None, 'vms': 4.00390625}
{'pid': 11260, 'name': 'SearchProtocolHost.exe', 'create_time': 1597318037.0, 'username': None, 'vms': 2.51953125}
{'pid': 11340, 'name': 'Code.exe', 'create_time': 1597315617.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 41.00390625}
{'pid': 11444, 'name': 'ApplicationFrameHost.exe', 'create_time': 1597314342.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 16.45703125}
{'pid': 11568, 'name': 'Code.exe', 'create_time': 1597315158.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.640625}
{'pid': 11628, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 33.6640625}
{'pid': 11724, 'name': 'chrome.exe', 'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 18.5234375}
